k,total_loss,merged_groups,merge_cost,ccei_merged
9,0.0,,,
8,2.5545372866127583,6+9,2.5545372866127583,0.7445462713387242
7,8.390683229813666,6+8,5.836145943200908,0.5338509316770186
6,15.382919254658386,6+7,6.99223602484472,0.5338509316770186
5,26.104347826086958,3+6,10.721428571428572,0.5338509316770186
4,38.22422360248448,3+4,12.119875776397521,0.5338509316770186
3,62.84962103024898,3+5,24.625397427764504,0.37772652445298033
2,100.4272392761732,2+3,37.577618245924214,0.3214375724582892
1,177.1047935883865,1+2,76.67755431221332,0.3214375724582892
