k,total_loss,merged_groups,merge_cost,varian_merged
15,0.0,,,
14,0.13702227661401023,10+13,0.13702227661401023,0.9955799265608384
13,0.29055416496579567,12+15,0.15353188835178544,0.9860425556043831
12,2.3209277567935436,9+14,2.030373591827748,0.9558614436559185
11,5.746312672955689,11+12,3.4253849161621455,0.9082329024483607
10,11.670744015047532,6+10,5.924431342091844,0.9222890561704378
9,26.06410727438336,7+11,14.393363259335828,0.7357017637669153
8,39.59016527540603,3+7,13.526058001022669,0.9148693565814259
7,57.585527852930774,4+5,17.995362577524745,0.9302505326452529
6,77.96035793444017,3+8,20.374830081509394,0.8706404784379506
5,97.48431441070203,3+9,19.52395647626186,0.8357326661868648
4,119.44950091360417,2+6,21.96518650290215,0.9168348957815786
3,160.12193758159486,1+3,40.672436667990695,0.9274173442223523
2,215.82513825901304,1+4,55.703200677418195,0.8973778698702705
1,281.36086627990153,1+2,65.53572802088851,0.8701611138532988
